id;nombre;rut;especialidad;telefono;ciudad;email;estado
1;inasmuch;ferociously excepting;why phew minus;fundraising;mmm gee because;Samuel_CarranzaOtero@gmail.com;false
2;ha trek;hmph after submitter;notwithstanding minor;because sun;how;Benito_CorreaBorrego@gmail.com;false
3;safeguard lavish starch;worth;loaf symbolise reopen;carelessly;scared sheepishly cash;Pablo_AlemanVilla@yahoo.com;false
4;inwardly hm;smog for;commonly;queasily hype window;ouch pro however;Luz_LuevanoMontalvo1@gmail.com;true
5;inborn bashfully;crafty ah ah;though meh;likewise unnecessarily notwithstanding;an;Marcela22@yahoo.com;true
6;plumber psst sans;provided wholly;amidst rebel outfox;aboard incidentally inasmuch;confirm versus;Cesar.CamarilloMejia45@hotmail.com;true
7;until courageous;phew blah;given per hungrily;jovially;actually underpants extricate;Rosa51@gmail.com;true
8;gracious mobility dusk;violently gee gadzooks;drug;violently;certify offset;Lourdes_BuenoMiramontes@gmail.com;true
9;microblog amidst;aw;successfully;marksman yesterday ick;gnash per;Andrea_PeraltaCardenas71@hotmail.com;false
10;sashay officially;who;whoa against;coil scruple;across;Susana.EspinosaLopez19@gmail.com;false
